MNI	Label	Region
1	SPG_L	SUPERIOR PARIETAL GYRUS left
2	Cingulate_Gyrus_L	CINGULATE GYRUS left
3	SFG_L	SUPERIOR FRONTAL GYRUS left
4	MFG_L	MIDDLE FRONTAL GYRUS left
5	IFG_L	INFERIOR FRONTAL GYRUS left
6	PrCG_L	PRECENTRAL GYRUS left
7	PoCG_L	POSTCENTRAL GYRUS left
8	Angular_Gyrus_L	ANGULAR GYRUS left
9	Pre_Cuneus_L	PRE-CUNEUS left
10	Cuneus_L	CUNEUS left
11	Lingual_Gyrus_L	LINGUAL GYRUS left
12	Fusiform_Gyrus_L	FUSIFORM GYRUS left
13	PHG_L	PARAHIPPOCAMPAL GYRUS left
14	SOG_L	SUPERIOR OCCIPITAL GYRUS left
15	IOG_L	INFERIOR OCCIPITAL GYRUS
16	MOG_L	MIDDLE OCCIPITAL GYRUS
17	Entorhinal_Area_L	ENTORHINAL AREA
18	STG_L	SUPERIOR TEMPORAL GYRUS
19	ITG_L	INFERIOR TEMPORAL GYRUS
20	MTG_L	MIDDLE TEMPORAL GYRUS
21	LFOG_L	LATERAL FRONTO-ORBITAL GYRUS
22	MFOG_L	MIDDLE FRONTO-ORBITAL GYRUS
23	SMG_L	SUPRAMARGINAL GYRUS
24	Gyrus_Rectus_L	GYRUS RECTUS
25	Insular_L	INSULAR
26	Amygdala_L	AMYGDALA
27	Hippocampus_L	HIPPOCAMPUS
28	Cerebrellum_L	CEREBELLUM
29	CST_L	Corticospinal tract left
30	ICP_L	Inferior cerebellar peduncle left
31	ML_L	Medial lemniscus left
32	SCP_L	Superior cerebellar peduncle left
33	CP_L	Cerebral peduncle left
34	ALIC_L	Anterior limb of internal capsule left
35	PLIC_L	Posterior limb of internal capsule left
36	PTR_L	Posterior thalamic radiation (include optic radiation) left
37	ACR_L	Anterior corona radiata left
38	SCR_L	Superior corona radiata left
39	PCR_L	Posterior corona radiata left
40	CGC_L	Cingulum (cingulate gyrus) left
41	CGH_L	Cingulum (hippocampus) left
42	Fx/ST_L	Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left
43	SLF_L	Superior longitudinal fasciculus left
44	SFO_L	Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left
45	IFO_L	Inferior fronto-occipital fasciculus left
46	SS_L	Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left
47	EC_L	External capsule left
48	UNC_L	Uncinate fasciculus left
49	PCT_L	Pontine crossing tract (a part of MCP) left
50	MCP_L	Middle cerebellar peduncle left
51	Fornix_L	Fornix (column and body of fornix) left
52	Genu_CC_L	Genu of corpus callosum left
53	Body_CC_L	Body of corpus callosum left
54	Splenium_CC_L	Splenium of corpus callosum left
55	RLIC_L	Retrolenticular part of internal capsule left
56	RedNucleus_L	Red Nucleus left
57	SNigra_L	Substancia Nigra left
58	Tapetum_L	Tapatum left
59	Caudate_L	CAUDATE NUCLEUS left
60	Putamen_L	PUTAMEN left
61	Thalamus_L	THALAMUS left
62	GlobusPallidus_L	GLOBUS PALLIDUS left
63	Midbrain_L	MIDBRAIN left
